Loyalty Points,Points de fidélité,
Loyalty program is not enabled.,Le programme de fidélité n'est pas activé.,
Please log in to view your loyalty points.,Veuillez vous connecter pour voir vos points de fidélité.,
You are not enrolled in a loyalty program yet. Make a purchase to start earning points!,Vous n'êtes pas encore inscrit à un programme de fidélité. Faites un achat pour commencer à gagner des points !,
Your loyalty program,Votre programme de fidélité,
Available Points,Points disponibles,
Worth,Valeur,
How to earn points,Comment gagner des points,
Shop,Acheter,
Earn points on every purchase,Gagnez des points à chaque achat,
Accumulate,Accumuler,
Points are credited after order completion,Les points sont crédités après la finalisation de la commande,
Redeem,Échanger,
Use your points at checkout for discounts,Utilisez vos points lors du paiement pour obtenir des réductions,
Start Shopping,Commencer vos achats,
Points History,Historique des points,
Date,Date,
Description,Description,
Invoice,Facture,
Points,Points,
Earned,Gagné,
Redeemed,Utilisé,
Load More,Charger plus,
No points history yet. Start shopping to earn points!,Pas encore d'historique de points. Commencez vos achats pour gagner des points !,
Gift Cards,Cartes cadeau,
Gift cards feature is not enabled.,La fonctionnalité cartes cadeau n'est pas activée.,
Please log in to view your gift cards.,Veuillez vous connecter pour voir vos cartes cadeau.,
No gift cards yet,Pas encore de cartes cadeau,
You don't have any gift cards in your account.,Vous n'avez pas encore de cartes cadeau dans votre compte.,
Your Gift Cards,Vos cartes cadeau,
Manage your gift cards,Gérez vos cartes cadeau,
card(s),carte(s),
Gift Card,Carte cadeau,
Code,Code,
Copy code,Copier le code,
Valid from,Valide à partir du,
Valid until,Valide jusqu'au,
Active,Active,
Expired,Expirée,
Used,Utilisée,
How to use your gift card,Comment utiliser votre carte cadeau,
Add items to your cart,Ajoutez des articles à votre panier,
Apply,Appliquer,
Enter your gift card code at checkout,Entrez le code de votre carte cadeau lors du paiement,
Save,Économiser,
The amount will be deducted from your total,Le montant sera déduit de votre total,
Code copied to clipboard,Code copié dans le presse-papiers,
Buy a gift card,Acheter une carte cadeau,
